,name,state,review_count,stars
569,City Barbeque,IN,188,4.0
583,El Rancho Nuevo,MO,66,3.5
584,Poppy's Ice Cream,LA,6,4.5
587,Norma's Sweets Bakery,LA,26,4.0
589,High Ridge Family Diner,MO,8,4.5
590,Starbucks,FL,56,3.0
592,DOSC,AB,87,4.0
593,La Cucina Italian Eatery,PA,44,4.0
595,ZigZag Scallop,FL,214,4.0
596,Auntie Anne's,FL,7,2.0
597,African Palace Bar And Grill,MO,26,4.0
601,Rusty's Pizza Parlor,CA,94,2.5
606,Fox & Hounds Tavern,MO,86,4.0
608,KFC,PA,7,2.0
610,State Street Kitchen,PA,124,4.5
611,Boogyz Donuts,MO,49,5.0
613,Starbucks,AB,10,3.5
616,Brew Brothers,NV,592,3.5
618,Wawa,PA,14,3.5
620,Panera Bread,PA,58,2.5
621,Soco's Gyros,MO,126,4.0
624,Nudy's Cafe - Chadds Ford,PA,63,3.5
625,Creekside Inn,NJ,20,3.5
627,Snellgroves Restaurant,FL,64,3.5
628,Brixx Craft House,ID,115,4.0
631,Rita's Italian Ice,PA,8,4.0
634,Adventure Coast Fun Park,FL,10,4.5
639,Sushi Wasabi,AB,57,4.0
640,Locust Lane Craft Brewery,PA,29,4.5
646,McDonald's,FL,6,2.0
652,The Royal Indian Cuisine,PA,28,4.0
660,McDonald's,PA,20,1.5
662,Casita Taqueria,FL,207,4.5
666,Pita Kebob,FL,142,4.0
671,Trattoria Totaro,PA,135,4.0
676,Katie's Pizza & Pasta Osteria,MO,313,4.0
678,The Cobblestone Eatery and Drinkery,IL,52,3.5
681,Blackrock Brewers,AZ,35,4.5
683,Skippack Sweet Spot,PA,18,3.5
691,Dune Coffee Roasters - Anacapa,CA,320,4.0
694,Kelly's Taproom,PA,63,3.0
703,Cantina Los Tres Hombres,NV,284,3.0
707,The Juice Pod,PA,19,4.0
709,White Castle,MO,6,2.0
711,Dead Ringer Analog Bar,NV,15,4.5
719,Pasquales,IN,26,3.0
721,Golden Capital Restaurant,AB,8,3.5
726,365 Caffe Italiano,FL,127,4.5
727,Siam Elephant,CA,460,4.5
728,Dunkin',FL,23,2.0
730,CVS Pharmacy,FL,17,3.5
733,Jersey Mike's Subs,NJ,21,4.0
738,Spring Hollow Golf Club,PA,29,3.0
748,Blue Sage Vegetarian Grille,PA,572,4.5
759,KELP Sushi Joint,FL,325,4.0
762,Golden River Restaurant,NJ,8,5.0
764,Nicola's Pizza,NJ,54,4.0
766,7-Eleven,NV,12,2.0
770,Cafe Olivia,IN,34,4.5
771,CD Roma Restaurant,FL,125,4.0
777,McDonald's,IN,34,2.0
779,The Original Pancake House,ID,155,4.0
781,India Palace,IN,167,3.5
798,Brugada,TN,49,3.5
803,Tim Hortons,AB,9,3.0
810,Edible Arrangements,NJ,6,2.5
811,HotBox Pizza,IN,14,3.5
814,Auntie Anne's,FL,10,2.5
817,CVS Optical,PA,35,2.5
821,Cedar Park Cafe,PA,301,4.0
822,Joe’s Pizza and Pasta,IL,17,4.0
828,Crescent City Steak House,LA,226,3.5
829,Edible Arrangements,TN,12,2.5
835,Wawa,PA,8,3.5
840,Lee House,AB,30,4.0
841,Ted's Luncheonette,FL,37,4.0
845,Shanghai Express,NJ,74,4.0
850,Carnivore,MO,281,4.5
855,Pecos Liquor Store,DE,9,5.0
856,Edible Arrangements,PA,10,3.5
857,Capitol Cellars,ID,176,4.0
860,Petite 4,ID,121,4.5
863,The Coventry Deli,PA,65,4.0
864,The flagpole Nola,LA,30,5.0
865,Sean Thorntons Public House,PA,6,3.5
868,Dekalb Produce,PA,16,4.5
870,Cupcake Fairies,LA,20,5.0
873,Dunkin',NJ,7,3.0
875,Hong Kong Chinese Restaurant,PA,18,3.0
881,Felix's Restaurant & Oyster Bar,LA,255,3.5
890,Del Taco,NV,60,1.5
892,King Ribs Bar-B-Q,IN,20,3.0
893,Cocco's Gelateria,PA,37,4.5
898,Szechuan Paramount Restaurant,AB,25,3.0
901,China Wok,PA,55,4.0
902,Double Decker Pizza - Media,PA,88,4.0
908,Taj Mahal Homestyle Indian & Pakistani Cuisine,ID,280,4.0
909,Another Broken Egg Cafe,IN,26,4.0
910,Family Beverage,PA,6,3.0
912,The Humming Bird Jerk house,FL,32,3.5
915,Burger Up - Franklin,TN,329,3.5
916,Taco Del Mar,LA,9,2.0
922,Flambo Caribbean Restaurant,PA,138,4.5
925,Purple Penguin Candy Emporium,AZ,14,5.0
930,Painturo's,TN,46,4.0
934,Noodles & Company,MO,65,3.5
938,M.L.Rose Craft Beer & Burgers - Melrose,TN,472,3.5
939,Dunkin',NJ,6,3.5
940,Wawa,PA,50,3.5
946,Lama Dog Tap Room,CA,238,4.0
948,Five Guys,AB,37,4.0
954,Chick-fil-A,AZ,13,3.0
955,Lucianis Pizzeria & GRILL,PA,22,3.0
956,Kávé Express,TN,50,4.5
957,Mr. B's Bistro,LA,2064,4.0
963,Dunkin',FL,30,2.5
968,Rockabilly Grill,AZ,37,3.5
971,Olive Garden Italian Restaurant,LA,115,3.5
976,Nippon Tei,MO,254,4.0
978,Starbucks,NJ,7,4.5
981,Popeyes Louisiana Kitchen,TN,6,1.0
995,Wendy's,AZ,14,2.5
1000,Dio Modern Mediteranean,FL,325,4.0
1002,Donelson Pub,TN,18,3.5
1007,Terra Sur Cafe,FL,316,4.0
1008,Stardust Tea Spices and Beads,TN,6,4.5
1016,Dream Tea House,AB,30,4.0
1025,Crab Du Jour,NJ,26,3.5
1029,Tsunami Japanese Steakhouse,FL,212,3.0
1031,Bar-B-Q Heaven,IN,10,3.0
1038,The Mona Lisa Lounge,LA,111,5.0
1052,Healthy Blend Cafe,NJ,5,3.0
1058,Slate Bleu Restaurant,PA,105,4.0
1059,BarBurrito - South Edmonton,AB,8,3.5
1060,August Rhodes Bakery,AZ,89,4.5
1062,K-Bop STL,MO,69,4.5
1065,Minas Pizza,PA,54,3.0
1066,Domino's Pizza,LA,11,2.5
1067,Taco Bell,FL,42,2.5
1082,Cutting Edge Nutrition,IN,5,5.0
1083,Palo De Azucar Cafe,NJ,5,5.0
1091,The Lunar Inn,PA,29,4.5
1093,Texas Roadhouse,PA,240,4.0
1095,Domino's Pizza,AZ,27,2.5
1096,Season's Pizza,DE,7,3.0
1106,Chase's Hop Shop,PA,116,4.5
1107,Beef 'O' Brady's,FL,46,3.0
1108,Roadrunner Coffee Co.,AZ,9,4.0
1113,Dunkin',PA,23,2.0
1115,Suzy-Jo Donuts,PA,89,4.5
1116,Paola's Pizzeria,PA,126,4.5
1117,Mundare Sausage House,AB,7,4.0
1118,The Cubby Hole,NJ,202,4.5
1120,Truckee Meadow Herbs,NV,15,4.5
1121,Fuzzy's Taco Shop,FL,172,3.0
1125,Grace Meat + Three,MO,470,4.5
1126,Beck's Cajun Cafe,PA,485,4.0
1128,Monon Coffee Company,IN,170,4.0
1134,Rai Rai Ramen,NJ,196,4.5
1135,Golden Triangle,PA,159,4.5
1141,Jack in the Box,AZ,13,2.0
1145,Edley’s,IL,34,3.0
1150,El Taco Torro,IN,14,3.5
1151,MOD Pizza,ID,22,3.5
1160,All Wrapped Up,NV,7,4.0
1165,Brio Italian Grille,MO,366,3.5
1175,Harvest Bowl Eatery & Market,FL,101,4.0
1176,Panaderia La Conchita,TN,44,4.5
1180,Moxie's Grill & Bar,AB,52,3.5
1182,Francisco's On The River,PA,109,4.0
1183,The Howlin' Wolf,LA,213,3.5
1189,Texas Margaritas,IN,27,4.0
1191,Taco Bell,AZ,26,2.5
1193,Island Fin Poké,FL,88,5.0
1200,Jon Smith Subs,ID,39,3.5
1201,Hudsons Canada's Pub,AB,54,3.5
1202,Whataburger,AZ,71,2.5
1203,Breakfast Boutique Chestnut Hill,PA,151,3.0
1204,Los Rancheros,IN,45,3.5
1205,Drexel Hill Pizza & Grill,PA,54,3.0
1215,Payette Brewing,ID,121,4.0
1217,Sauce On The Side,MO,37,4.0
1220,Madison's Grill,AB,51,4.0
1222,Zac's Hamburgers,PA,48,4.0
1226,Vino Simpatico,FL,21,4.5
1227,Dunkin',FL,21,2.0
1228,Meal Prep Reno,NV,23,4.5
1232,Koi Sushi & Thai,TN,157,4.0
1235,Tzin Wine & Tapas,AB,116,4.5
1238,Treme Coffeehouse,LA,137,4.5
1241,Tortas El Guero,IN,176,4.5
1242,Penn Station East Coast Subs,MO,12,4.0
1247,Spasso Italian Grill,PA,192,3.5
1267,A&W,AB,8,3.0
1269,Krispy Kreme,TN,65,3.0
1272,CraftyCrab,IN,28,4.0
1280,Panda Express,TN,15,3.0
1281,La Casa de Pan de Yuca,FL,7,4.5
1285,Froyo Fresh,FL,76,4.0
1289,CACi Wood-Fired Sicilian Grill,ID,156,4.0
1290,Farmer's Market Deli & Grill,TN,9,3.5
1291,Tony's Bar,PA,7,4.5
1293,Basimo Beach Cafe,FL,339,4.0
1295,Jimmy B's Eatery & Pub,IN,42,4.0
1305,Fray's Donut House,FL,60,4.5
1314,La Patisserie Chouquette,MO,229,4.0
1315,Forin Cafe,PA,10,4.5
1319,Reytas Filipino Cuisine,NJ,79,4.5
1320,Cat Therapy,CA,116,4.5
1322,Julian Restaurant,FL,27,4.5
1326,Tony's Luke,PA,172,2.5
1329,Burger King,TN,9,1.5
1330,Bobby Hotel,TN,178,3.5
1334,Transcend Coffee - Ritchie Market,AB,32,4.5
1336,Wendy's,PA,13,2.0
1341,Stone House Grille,PA,56,4.5
1342,Panago Pizza,AB,7,3.5
1344,Sunoco,PA,8,2.5
1349,Taziki's Mediterranean Cafe - West End,TN,120,3.5
1354,Imo's Pizza,IL,22,2.5
1358,Steppy's Sports Bar & Grill,PA,69,3.0
1363,Wingstop,TN,31,2.5
1369,Hykel's Submarine Sandwich-Bar,PA,34,4.0
1371,Mercy’s Bakery,PA,5,4.0
1376,Cheddar's Scratch Kitchen,IL,187,2.5
1379,West Ave Grille Jenkintown Restaurant and Food Truck ,PA,277,4.0
1381,Wasabi2,PA,78,4.5
1383,Luberto's Brickoven Pizza,PA,96,4.0
1386,My Brother’s Bar,LA,6,4.0
1392,Mood Cafe,PA,458,4.5
1405,China One,IN,23,4.0
1408,Corey's Bakery,FL,19,5.0
1409,Cinco de Mayo,TN,35,3.5
1413,Good Oak Bar,AZ,143,4.5
1416,The Fishin Chicken Food Truck,FL,11,3.5
1419,Tandoor & Tikka,IN,78,3.5
1422,Salty Lime Cantina,FL,103,4.5
1426,Paradise Pizza Cafe,FL,7,2.5
1427,The Mad Crab,MO,156,3.5
1431,Gregs,IN,43,4.0
1432,The Local Draught House,FL,58,3.5
1435,Chinese Delight,PA,52,3.0
1437,Southgate,PA,323,4.0
1440,Wawa,PA,13,3.0
1443,Bevan's Cold Cuts,PA,15,4.0
1445,"Midtown Corkdorks Wine, Spirits & Beer",TN,117,4.0
1447,Kung Fu Tea,NJ,10,4.5
1448,Andrea's Restaurant,LA,218,2.5
1451,Bogo SB,CA,12,4.5
1459,Trip's Diner,FL,223,4.0
1465,Coco's Cocina Tex Mex  Restaurant,NJ,59,3.5
1467,Captain D's,TN,14,3.5
1485,Cafe with Soul,PA,26,3.5
1492,Blueplate,NJ,232,4.0
1493,Falls Deli,PA,31,4.5
1495,New Hong Kong Chinese Restaurant,FL,18,2.5
1497,5 Points Cases and Kegs,PA,8,4.5
1498,Salvatore's Trattoria & Pizzeria,PA,38,3.5
1501,Loco Mexican Restaurant & Cantina,IN,178,4.0
1502,Farm Boy Fresh,PA,11,4.0
1505,Ichicoro Ane,FL,264,4.0
1510,Chinese Express,MO,15,4.0
1511,Angelina's,PA,49,4.5
1526,The Human Bean,NV,37,4.5
1527,New Orleans Hamburger & Seafood Co.,LA,113,3.5
1532,Crown Fried Chicken,PA,11,3.5
1533,Roundabout Catering,NV,38,5.0
1534,HAPPYJAXX,LA,24,4.0
1538,Toyama Japanese Steak House,TN,142,3.0
1539,Fresh Healthy Cafe,AB,8,3.5
1543,Starbucks,NJ,15,3.0
1544,Cherry Hill Pizza,NJ,27,3.0
1546,Breakfast Club,FL,80,4.5
1558,Lorenzo & Sons Pizza,PA,71,3.5
1559,The Little Lamb,FL,307,4.5
1560,Villagio Cinemas,FL,285,3.0
1564,Ob's Pizza Pub & Eatery,IN,10,3.5
1567,Pizza Hut,LA,16,2.0
1568,Captain D's,TN,10,2.0
1569,Taqueria Pico De Gallo,AZ,397,4.0
1571,Burger King,LA,23,1.5
1575,Gigi and Big R,PA,81,4.0
1576,Twistee Treat - New Tampa,FL,70,3.5
1577,Kyoto Japanese Cuisine,AB,58,3.5
1581,Dunkin',FL,29,2.5
1582,Ellerslie Gift & Garden,AB,8,4.0
1584,China Spring,TN,33,3.5
1585,Zaxby's Chicken Fingers & Buffalo Wings,FL,37,3.0
1588,Little Caesars,TN,14,2.0
1589,CAVA,PA,5,5.0
1590,El Pollo Loco,NV,73,3.0
1591,J Gilbert's Wood-Fired Steaks & Seafood St Louis,MO,268,4.0
1597,O Sole Mio,PA,85,4.5
1600,Thai Phooket Smyrna,TN,76,4.0
1605,Kobe Japanese Steakhouse,FL,91,4.5
1607,Pizza Hut,NV,48,2.0
1611,Gu Wei Noodles & Grill,FL,40,4.5
1614,Sachiko Sushi,AZ,191,3.5
1616,Downtown Diner,IL,8,4.0
1628,Harleysville Beverage,PA,7,3.0
1630,Sushi Rose,NV,634,3.5
1635,Kampai Sushi Bar,MO,328,4.0
1636,Spot House Restaurant and Bar,MO,53,4.5
1641,PANA Donuts Coffee & Boba Tea,IN,163,4.5
1646,Pitas Republic,FL,5,5.0
1649,Subway,FL,14,3.0
1651,F & M Delicatessen,NJ,67,3.5
1662,Auntie Anne's,IN,7,3.0
1663,Dover Kam Kitchen,AB,9,3.0
1669,Zeko's Mediterranean Grill,FL,345,4.5
1682,Vecchia Osteria,PA,359,4.0
1686,Washington Crossing Inn,PA,144,4.0
1691,Abbruzzi & Giunta's Italian Market,NJ,44,4.5
1694,Tryst Gastro Lounge,FL,295,3.5
1698,Wendy's,NV,35,2.5
1701,Mandalay Asian Cuisine,MO,16,3.0
1705,Huge Impact Restaurant,IN,36,3.5
1712,P.F. Chang's,TN,181,2.5
1716,CVS Pharmacy,FL,18,2.0
1730,Ascending Health Juicery,CA,7,4.5
1737,Feed the Camel,NV,17,4.5
1739,Rode's Fireside Restaurant & Tavern,NJ,104,3.5
1750,LeBuzz Caffe,AZ,33,4.0
1762,124 Grand Market,AB,18,4.5
1766,Starbucks,LA,50,2.5
1768,King House Chinese Restaurant,PA,15,3.5
1786,Burger King,FL,11,2.0
1789,California Wine Festival,CA,7,4.5
1796,Freddy's Frozen Custard & Steakburgers,AZ,112,3.5
1799,Taquería La Juquilita,TN,74,4.5
1800,Super China Chinese Restaurant,FL,54,4.0
1802,Bully's Sports Bar & Grill,NV,126,2.5
1803,American Airlines Admirals Club,MO,25,3.5
1811,Funland Raspados And Munchies,AZ,6,4.5
1817,Fine Wine & Good Spirits - Premium Collection,PA,7,2.0
1818,St Louis Fish and Chicken,MO,7,4.0
1820,Le Peep,ID,259,4.0
1821,Taqueria La Hacienda,PA,10,3.5
1833,Harvest Coffee Roastery,NJ,13,4.0
1835,The Mill,CA,5,4.0
1837,BoomBozz Craft Pizza & Taphouse,TN,57,3.5
1844,Persian Room Fine Dining,AZ,258,4.5
1845,McDonald's,FL,24,2.0
1847,El Carrito,NV,6,5.0
1848,Rincon Brewery,CA,32,4.0
1854,Zydeco's,LA,161,3.5
1855,Chopt Creative Salad Co.,TN,135,3.5
1859,Butter's Soul Food,PA,77,3.0
1862,A&W,AB,8,3.0
1863,JJ's Barbeque,FL,7,4.5
1864,Birchwood Farm,PA,26,4.0
1865,Hardee's,IN,6,2.5
1866,The Village Diner,PA,80,3.5
1867,Turning Point of North Wales,PA,169,3.0
1868,RJ's Bagels,PA,41,4.0
1869,Tinker Coffee,IN,10,3.5
1871,Burger Theory,IN,86,4.0
1872,Alchemy Coffee,PA,19,5.0
1873,Sophie's Artist Lounge,MO,12,5.0
1874,The 81 Hong Kong Cafe,AZ,133,4.0
1880,Little Caesars Pizza,AZ,10,2.0
1886,Capriotti's Sandwich Shop,PA,38,3.5
1888,Stio's Water Ice And Ice Cream Washington Township,NJ,6,5.0
1890,D-Town Bar & Grill,FL,91,3.0
1902,McDonald's,TN,24,2.5
1907,McAlister's Deli,MO,46,3.5
1910,Cannuli's Quality Meats & Poultry,PA,38,4.5
1914,Saladworks,PA,8,3.5
1920,Olly,PA,51,4.0
1924,Hattie Jane's Creamery,TN,7,4.5
1926,Subway,AZ,6,3.5
1929,Edible Arrangements,PA,8,2.0
1933,McDonald's,MO,11,1.5
1934,Anani Bistro,FL,17,4.5
1936,Spice Grill,PA,12,3.5
1937,Han Dynasty,PA,783,4.0
1940,Blueberry Hill Pancake House,IN,101,3.5
1942,Mainland Grille,PA,27,3.5
1960,Michael's Family Restaurant,PA,81,3.0
1964,Hilldale Kitchen,PA,9,3.5
1965,Pizza Hut,LA,17,2.5
1967,Guido's Italian Restaurant,FL,128,3.5
1968,3 Agaves Mexican Restaurant & Cantina,IN,50,4.0
1971,District Donuts Sliders Brew,LA,2062,4.5
1975,QuikTrip,MO,5,4.5
1976,Domino's Pizza,PA,31,1.5
1979,Faculty Club,AB,13,4.0
1984,JB's Bar & Grill,LA,7,3.5
1986,ABC Pizza House,FL,121,4.0
1988,Crystal BBQ,AB,5,2.5
1990,Dunkin',FL,11,2.0
1992,Guavaberry Foods & Drinks ,PA,13,4.0
1998,Wei Hong Bakery & Restaurant,MO,135,4.0
2000,Lan Zhou Lamen,FL,78,4.0
2008,McDonald's,NJ,14,1.5
2010,Wendy's,IL,7,2.0
2012,Sushi Bar,IN,346,4.0
2020,Thai 5 Fast Food,FL,336,4.0
2028,The Pint Room,IN,423,4.0
2030,Top Hog,TN,140,4.5
2031,Steak ’n Shake,FL,45,2.5
2038,John's Seafood,PA,9,3.0
2045,Peace Water Winery,IN,17,4.5
2049,Walgreens,LA,6,2.0
2052,Wild West Courier,AZ,5,5.0
2054,Arby's,IN,10,3.5
2057,México Lindo,PA,73,4.5
2059,Ardmore Park Beverage,PA,8,3.5
2075,Burger King,PA,15,2.0
2076,Elbow Room Bar,NV,12,4.0
2079,Nectar Urban Cantina,TN,390,4.5
2081,Rice Bowl Deluxe,AB,5,3.0
2082,Alfredo's Pizza,PA,79,4.5
2085,Versi Vino,NJ,60,5.0
2089,Pizzarella Grille,PA,58,3.5
2090,Famous Donair,AB,13,3.5
2091,Bamboo Oriental Cuisine,TN,5,3.5
2094,Junes Breakfast,PA,20,2.5
2096,Suis Generis,LA,100,4.0
2102,Wendy's,FL,22,2.0
2105,Newtown Bagel,PA,63,3.0
2107,Ooka Restaurant,PA,394,4.0
2109,Burger Bar,AB,5,2.5
2110,Concord Steaks,PA,33,3.5
2114,Rice Box,TN,67,4.0
2120,Bamboo House,IN,49,2.5
2122,Grand Isle,LA,588,4.0
2124,Quick Chek,NJ,6,2.0
2130,RJS Tacos & Burritos,IN,42,4.0
2133,Moe's Southwest Grill,TN,48,3.0
2134,Medium Rare Carnivore Club,AB,5,3.5
2135,Parks Place Pub,IN,52,4.0
2136,La Tavola Ristorante Italiano,TN,191,4.0
2142,Papa Murphy's,ID,16,2.5
2143,"Chuck Lager, America's Tavern",NJ,25,4.0
2146,Rally's,LA,13,1.5
2148,California Shakes & Juice Bar,NJ,6,5.0
2150,Taco Bell,IL,8,1.5
2162,Chef Johnson's,LA,8,4.5
2163,World Market,LA,37,4.0
2168,Flat Tire Diner,TN,71,4.5
2170,Lincoln Chicken Pizza And Grill,PA,20,2.5
2187,The Urban Juicer,TN,27,3.5
2195,Club 21Twenty,NJ,14,2.0
2197,Mo' Bettahs Hawaiian Style Food,ID,109,4.0
2199,Little Caesar's Pizza,IN,7,3.0
2202,Stefano Greek Italian Restaurant,FL,106,4.0
2206,Ruby Slipper Cafe,LA,347,4.5
2207,Panda Express,NV,86,2.5
2212,Murphy's Bar & Grill,MO,12,4.0
2216,Coco Fresh Tea and Juice,AB,10,4.0
2217,Crab & Claw,PA,65,3.0
2220,The Comedy Bar,TN,6,4.5
2222,Dunkin',NJ,14,2.0
2224,Hōru Sushi Kitchen,TN,8,5.0
2225,First Watch,FL,93,4.0
2226,Pina's Pizzaria,PA,26,4.0
2227,Have a Ball,PA,6,4.5
2229,Taste of China,IN,21,4.0
2232,Walgreens,FL,5,4.0
2233,New Bamboo Garden,NJ,34,4.0
2234,16-Bit Bar+Arcade,TN,24,4.0
2250,Super Gyros,IL,79,4.5
2252,Carpinteria 76,CA,12,2.0
2254,Jimmy John's,IN,14,3.5
2259,Urban Eatery,PA,9,2.0
2263,Dunkin',NJ,11,3.5
2270,Dragon House,PA,5,4.0
2271,The Larder,PA,7,4.5
2277,St. Philip’s Plaza,AZ,19,4.5
2278,Casa Honduras,LA,16,3.0
2279,6 North Cafe,MO,91,4.0
2282,Hot Stuff Spicy Chicken and Fish,TN,129,3.5
2286,Heritage's,NJ,5,4.5
2288,Whitt's Barbecue - Hermitage,TN,9,4.0
2292,RaceTrac,FL,8,3.5
